Midway 1 Package,Midway 1 Package Version
BradleyTerry2,1.0-6
brglm,0.5-9
cats,0.0.0.9000
causalTree,0
cellranger,1.1.0
clusterSim,0.44-2
conjoint,1.39
corpcor,1.6.8
csvy,0.1.3
Cubist,0.0.18
dada2,1.0.3
dclone,2.0-0
DiagrammeR,0.8.2
doRNG,1.6
doSNOW,1.0.14
DT,0.2
earth,4.4.7
ellipse,0.3-8
etrunct,0.1
fastICA,1.2-0
fda,2.4.4
FNN,1.1
gam,1.14
gbm,2.1.1
geoR,1.7-5.2
ggvis,0.4.3
gstat,1.1-3
haven,1.0.0
httpuv,1.3.3
hwriter,1.3.2
influenceR,0.0.0.9000
intervals,0.15.1
ipred,0.9-5
IRdisplay,0.4.3
IRkernel,0.6
ISwR,2.0-7
itertools,0.1-3
kernlab,0.9-25
ks,1.10.3
lava,1.4.5
leaflet,1.0.1
limma,3.24.15
manipulate,99.9.9
mapdata,2.2-6
mapproj,1.2-4
mda,0.4-9
miniUI,0.1.1
mlbench,2.1-1
MLmetrics,1.1.1
ncdf,1.6.9
NLP,0.1-8
numDeriv,2016.8-1
openxlsx,3.0.0
pamr,1.55
party,1.0-25
pbdZMQ,0.2-3
PCAviz,0.1-0
plotmo,3.3.0
plotrix,3.6-3
pls,2.5-0
png,0.1-7
pomp,1.4.1.1
pROC,1.8
prodlim,1.5.7
profileModel,0.5-9
proto,0.3-10
pscl,1.4.9
qtl,1.40-8
RandomFields,3.1.16
RandomFieldsUtils,0.2.1.1
RANN,2.5
raster,2.5-8
readODS,1.6.4
readxl,0.1.1
rematch,1.0.1
repr,0.9
rgdal,1.2-4
rgl,0.95.1441
rio,0.4.16
rJava,0.9-8
RMySQL,0.10.9
RNetCDF,1.8-2
ROCR,1.0-7
rpart.plot,2.1.0
RSclient,0.7-3
Rserve,1.7-3
rstudio,99.9.9
rworldxtra,1.01
shiny,0.13.2
shinydashboard,0.5.1
shinyjs,0.6
ShortRead,1.26.0
spacetime,1.1-5
splancs,2.01-38
spls,2.2-1
SQUAREM,2016.8-2
strucchange,1.5-1
subselect,0.12-6
superpc,1.09
TeachingDemos,2.1
tm,0.6-2
triebeard,0.3.0
truncnorm,1.0-7
udunits2,0.8.1
urltools,1.6.0
uuid,0.1-2
varbvs,2.0.0
visNetwork,1.0.0
vizbase,0.1.0
webshot,0.4.0
wordcloud,2.5
xlsx,0.5.7
xlsxjars,0.6.1
xml2,1.0.0
xts,0.9-7
